MW,LogP,NumHDonors,NumHAcceptors
429.47700000000015,2.12408,2.0,7.0
435.48100000000017,1.656,2.0,8.0
455.5150000000004,2.6582800000000004,2.0,7.0
455.46200000000016,2.585000000000001,2.0,7.0
442.4190000000002,2.0752,2.0,7.0
410.85800000000023,2.1271999999999998,2.0,6.0
401.42300000000023,1.3454800000000002,2.0,7.0
369.4250000000002,2.6638800000000007,2.0,6.0
393.425,4.204600000000003,2.0,4.0
419.5320000000001,2.4808,2.0,9.0
418.54400000000015,3.0858000000000008,2.0,8.0
468.5580000000003,3.258000000000002,2.0,7.0
429.4270000000002,2.5584000000000007,2.0,7.0
418.5440000000001,3.0858000000000008,2.0,8.0
523.5440000000002,3.417600000000001,1.0,9.0
648.8260000000001,3.9025000000000016,4.0,7.0
515.9760000000002,4.627220000000003,2.0,6.0
461.46900000000016,3.271680000000001,2.0,7.0
505.5540000000002,3.278500000000001,1.0,9.0
487.4410000000002,4.363900000000002,1.0,6.0
504.58400000000023,3.5229000000000026,1.0,8.0
499.57200000000034,2.2924000000000007,2.0,8.0
461.46900000000016,3.024000000000002,2.0,7.0
487.4410000000002,4.363900000000002,1.0,6.0
448.42900000000026,4.267300000000003,1.0,7.0
412.53700000000026,4.236000000000003,1.0,5.0
482.5850000000004,3.649700000000002,2.0,7.0
479.4590000000001,3.319600000000001,2.0,7.0
453.4240000000002,3.664200000000003,1.0,7.0
471.4140000000002,3.961400000000003,1.0,7.0
493.51800000000014,3.8822800000000015,1.0,8.0
641.6790000000002,5.279000000000005,1.0,9.0
452.93900000000025,3.214220000000001,2.0,6.0
448.42900000000026,3.9197000000000033,1.0,7.0
485.44100000000026,4.351500000000003,1.0,7.0
489.93400000000037,5.085800000000003,1.0,5.0
461.40300000000013,4.317100000000002,1.0,7.0
443.4130000000001,4.178000000000003,1.0,7.0
448.42900000000026,3.9197000000000033,1.0,7.0
500.53100000000023,2.1427000000000005,2.0,8.0
433.47100000000023,3.946600000000002,1.0,6.0
451.4330000000003,2.9526000000000012,1.0,8.0
447.4010000000002,4.079420000000003,1.0,8.0
496.4520000000001,4.998400000000003,1.0,7.0
450.4980000000002,4.012900000000002,1.0,7.0
494.50600000000014,3.277280000000001,1.0,9.0
851.97,4.252200000000004,5.0,9.0
465.91300000000024,3.852400000000002,2.0,7.0
