molecule_chembl_id,units,smiles,IC50_norm,pIC50,bioactivity_class
CHEMBL3394221,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCOCC2)nc1F,0.3,9.522878745280336,Active
CHEMBL3394225,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(N2CCC(F)(F)CC2)nc1F,0.3,9.522878745280336,Active
CHEMBL3695734,nM,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccc(Cl)c3)ccc1Oc1c(F)cc(C3=CCOCC3)cc12,0.3,9.522878745280336,Active
CHEMBL3394216,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccc(F)nc2)nc1F,0.3,9.522878745280336,Active
CHEMBL3394211,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2cccnc2)nc1F,0.3,9.522878745280336,Active
CHEMBL3394220,nM,NC1=N[C@@]2(CO1)c1cc(-c3ncccc3F)ccc1Oc1c2cc(C2=CCCOC2)nc1F,0.3,9.522878745280336,Active
CHEMBL4472708,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,0.3,9.522878745280336,Active
CHEMBL3260838,nM,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3)ccc1Oc1ccc(-c3cccnc3)cc12,0.3,9.522878745280336,Active
CHEMBL3394224,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(N2CCOCC2)nc1F,0.3,9.522878745280336,Active
CHEMBL3394228,nM,Cc1cc(-c2cc3c(c(F)n2)Oc2ccc(-c4cccnc4F)cc2[C@@]32COC(N)=N2)on1,0.3,9.522878745280336,Active
CHEMBL3677271,nM,NC1=N[C@@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc(-c4ccnc(F)c4)cc32)c2nccn21,0.3,9.522878745280336,Active
CHEMBL4284110,nM,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(COC(N)=N2)c2cc(C4=CCOCC4)ncc2O3)c1,0.31,9.508638306165729,Active
CHEMBL5972460,nM,N#Cc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,0.32,9.494850021680094,Active
CHEMBL573106,nM,CO[C@H](C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,0.32,9.494850021680094,Active
CHEMBL6045555,nM,C[C@]1(F)C(N)=N[C@](C)(c2cc(Nc3nccc4cc(Cl)cnc34)ccc2F)CS1(=O)=O,0.33,9.481486060122112,Active
CHEMBL3667414,nM,[C-]#[N+]c1ccc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)nc1,0.358,9.446116973356126,Active
CHEMBL5875963,nM,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)nc1,0.358,9.446116973356126,Active
CHEMBL5772436,nM,C[C@]1(F)C(N)=N[C@](C)(c2cc(Nc3ncc(F)c4cc(Cl)cnc34)ccc2F)CS1(=O)=O,0.38,9.42021640338319,Active
CHEMBL2177303,nM,CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cc(F)cc43)c2)c1,0.38,9.42021640338319,Active
CHEMBL4473955,nM,CC(F)(F)[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(-n5cncn5)cn4)ccc3F)N=C(N)SC[C@H]12,0.385,9.4145392704915,Active
CHEMBL4453037,nM,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@H]2[C@@H]1OCC2(F)F,0.391,9.407823242604133,Active
CHEMBL3968517,nM,CC#CCOc1cnc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(Cl)nc(F)c2O3)cn1,0.4,9.397940008672036,Active
CHEMBL3680854,nM,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)OC[C@@H]1F,0.4,9.397940008672036,Active
CHEMBL3677273,nM,NC1=N[C@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc(C4=CCCOC4)cc32)c2nccn21,0.4,9.397940008672036,Active
CHEMBL3677275,nM,Cc1ccc(-c2cc(F)c3c(c2)[C@@]2(N=C(N)n4ccnc42)c2cc(-c4cccnc4F)ccc2O3)cc1,0.4,9.397940008672036,Active
CHEMBL5894449,nM,C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOCC5)C[C@H]43)c2)cn1,0.4,9.397940008672036,Active
CHEMBL4475533,nM,CNC(=O)[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)cc(F)c1F)N=C(N)S2,0.4,9.397940008672036,Active
CHEMBL4473740,nM,CN(C)C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)cc(F)c1F)N=C(N)S2,0.4,9.397940008672036,Active
CHEMBL6056871,nM,CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C#N)C[C@H]43)c2)cn1,0.4,9.397940008672036,Active
CHEMBL5847284,nM,CC#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)nc1,0.4,9.397940008672036,Active
CHEMBL6009172,nM,C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@H](F)C5)C[C@H]43)c2)cn1,0.4,9.397940008672036,Active
CHEMBL3354715,nM,CC1(COc2cc(F)c3c(c2)[C@]2(COC(N)=N2)c2cc(-c4cccnc4F)ccc2O3)COC1,0.4,9.397940008672036,Active
CHEMBL3394219,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCCCO2)nc1F,0.4,9.397940008672036,Active
CHEMBL3394212,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccncc2)nc1F,0.4,9.397940008672036,Active
CHEMBL3394213,nM,Cc1ccc(-c2cc3c(c(F)n2)Oc2ccc(-c4cccnc4F)cc2[C@@]32COC(N)=N2)cn1,0.4,9.397940008672036,Active
CHEMBL5093088,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)CC43)c2)cn1,0.4,9.397940008672036,Active
CHEMBL3394217,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccnc(F)c2)nc1F,0.4,9.397940008672036,Active
CHEMBL5974574,nM,CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(N)=O)C[C@H]43)c2)cn1,0.4,9.397940008672036,Active
CHEMBL4560579,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,0.4,9.397940008672036,Active
CHEMBL3970753,nM,COc1ccc(C(=O)Nc2ccc3c(c2)C2(CCSC(N)=N2)c2cc(-c4ccnc(F)c4)nc(F)c2O3)nc1,0.4,9.397940008672036,Active
CHEMBL3680889,nM,C[C@]1(F)COC(N)=N[C@]1(C)c1cc(NC(=O)c2ccc(C#N)cn2)ccc1F,0.4,9.397940008672036,Active
CHEMBL5817550,nM,COc1nc(N2C[C@H]3CSC(N)=N[C@@]3(c3cc(/C=C(\F)c4ccc(C#N)cn4)ccc3F)C2)nc(C)c1F,0.405,9.39254497678533,Active
CHEMBL4287483,nM,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(COC(N)=N2)c2cc(-c4ccnc(F)c4)ncc2O3)c1,0.43,9.366531544420411,Active
CHEMBL6007390,nM,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)C3(CC3)S(=O)(=O)[C@H]2F)c1,0.44,9.356547323513812,Active
CHEMBL3667412,nM,[C-]#[N+]c1ccc(C(=O)Nc2cccc([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)nc1,0.45,9.346787486224656,Active
CHEMBL5999560,nM,N#Cc1ccc(C(=O)Nc2cccc([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)nc1,0.45,9.346787486224656,Active
CHEMBL4276834,nM,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(COC(N)=N2)c2cc(C4=CCCOC4)ncc2O3)c1,0.46,9.337242168318426,Active
CHEMBL5269238,nM,COc1cc(/C=C/c2nnc(-c3ccc(F)cc3)o2)ccc1O,0.479,9.319664486585436,Active
CHEMBL5973772,nM,Cc1cc(OC(F)F)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)C3(CC3)S(=O)(=O)[C@H]2F)c1,0.48,9.318758762624412,Active
CHEMBL4446406,nM,COc1cnc(C(=O)Nc2cccc([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,0.482,9.316952961761151,Active
CHEMBL3667409,nM,NC1=N[C@@]2(c3cccc(NC(=O)c4cnc(CO)cn4)c3)CN(c3ncc(F)cn3)C[C@H]2CS1,0.482,9.316952961761151,Active
CHEMBL2152910,nM,NC1=N[C@@]2(COCC1)c1cc(-c3cccnc3F)ccc1Oc1cnc(-c3ccnc(F)c3)cc12,0.5,9.30102999566398,Active
CHEMBL2152911,nM,CC(C)(C)COc1cc(F)c2c(c1)[C@]1(COCCC(N)=N1)c1cc(-c3cccnc3F)ccc1O2,0.5,9.30102999566398,Active
CHEMBL3394041,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(C3=CCCOC3)cc12,0.5,9.30102999566398,Active
CHEMBL3394051,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(N3CC[C@@H](F)C3)cc12,0.5,9.30102999566398,Active
