molecule_chembl_id,units,smiles,IC50_norm,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL2177305,nM,CCn1cc([C@]2(c3cccc(NC(=O)c4ccc(Cl)cn4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,0.15,9.82390874094432,Active,515.9760000000002,4.627220000000003,2.0,6.0
CHEMBL4564324,nM,CC(F)(F)[C@H]1OC[C@]2(c3cc(NC(=O)c4ccc(C#N)cn4)ccc3F)N=C(N)SC[C@H]12,0.157,9.804100347590769,Active,461.46900000000016,3.271680000000001,2.0,7.0
CHEMBL6009196,nM,C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncccn5)C[C@H]3CSC(N)=N4)c2)cn1,0.186,9.730487055782085,Active,505.5540000000002,3.278500000000001,1.0,9.0
CHEMBL3260839,nM,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c(F)cc(-c3ccnc(F)c3)cc12,0.2,9.69897000433602,Active,487.4410000000002,4.363900000000002,1.0,6.0
CHEMBL6043173,nM,CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(S(C)(=O)=O)C[C@H]43)c2)cn1,0.2,9.69897000433602,Active,504.58400000000023,3.5229000000000026,1.0,8.0
CHEMBL3741617,nM,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)C[S@@]4(=O)=NCCCCN4C(N)=N3)c2)cn1,0.2,9.69897000433602,Active,499.57200000000034,2.2924000000000007,2.0,8.0
CHEMBL4437161,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(CF)C[C@H]43)c2)cn1,0.2,9.69897000433602,Active,461.46900000000016,3.024000000000002,2.0,7.0
CHEMBL3695737,nM,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c(F)cc(-c3ccnc(F)c3)cc12,0.2,9.69897000433602,Active,487.4410000000002,4.363900000000002,1.0,6.0
CHEMBL3394218,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=COCCC2)nc1F,0.2,9.69897000433602,Active,448.42900000000026,4.267300000000003,1.0,7.0
CHEMBL3349234,nM,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)C2(CCC(OC)CC2)C3)c1,0.2,9.69897000433602,Active,412.53700000000026,4.236000000000003,1.0,5.0
CHEMBL4588608,nM,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS3(=O)=NCCCCC3(C)C(N)=N2)c1,0.2,9.69897000433602,Active,482.5850000000004,3.649700000000002,2.0,7.0
CHEMBL4577527,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(F)F)C[C@@H]34)c2)cn1,0.2,9.69897000433602,Active,479.4590000000001,3.319600000000001,2.0,7.0
CHEMBL3394227,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(N2CC[C@@H](F)C2)nc1F,0.2,9.69897000433602,Active,453.4240000000002,3.664200000000003,1.0,7.0
CHEMBL3394226,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(N2CCC(F)(F)C2)nc1F,0.2,9.69897000433602,Active,471.4140000000002,3.961400000000003,1.0,7.0
CHEMBL6020648,nM,N#Cc1ccc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)nc1,0.241,9.61798295742513,Active,493.51800000000014,3.8822800000000015,1.0,8.0
CHEMBL5857457,nM,CC#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(NC(=O)c3ccccc3)=N4)c2)cn1,0.287,9.542118103266008,Active,641.6790000000002,5.279000000000005,1.0,9.0
CHEMBL6023127,nM,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C(C)(C)C(N)=N2)c1,0.3,9.522878745280336,Active,452.93900000000025,3.214220000000001,2.0,6.0
CHEMBL3394221,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCOCC2)nc1F,0.3,9.522878745280336,Active,448.42900000000026,3.9197000000000033,1.0,7.0
CHEMBL3394225,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(N2CCC(F)(F)CC2)nc1F,0.3,9.522878745280336,Active,485.44100000000026,4.351500000000003,1.0,7.0
CHEMBL3695734,nM,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccc(Cl)c3)ccc1Oc1c(F)cc(C3=CCOCC3)cc12,0.3,9.522878745280336,Active,489.93400000000037,5.085800000000003,1.0,5.0
CHEMBL3394216,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccc(F)nc2)nc1F,0.3,9.522878745280336,Active,461.40300000000013,4.317100000000002,1.0,7.0
CHEMBL3394211,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2cccnc2)nc1F,0.3,9.522878745280336,Active,443.4130000000001,4.178000000000003,1.0,7.0
